order,video_id,Location,Other locations,Activity,Other activities,Activity center,Video description accuracy (1-5),Location not in schema,Activity not in schema
1,001_00320001_2024-10-20_4_89de9fca76_processed_043.mp4,hallway,bedroom,looking at device,sitting,CC,4,,
2,002_00240001_2024-11-06_2_3a7315e875_processed_040.mp4,bedroom,,playing,crawling,JA,5,,
3,003_00400001_2023-06-21_2_78f629b94b_processed_076.mp4,bedroom,,crawling,sitting,CC,4,,
4,004_00320002_2024-06-03_1_e20fa612a1_processed_043.mp4,laundry room,hallway,being held,walking,JA,3,,
5,005_00500001_2023-08-22_2_4da871d02e_processed_050.mp4,living room,,sitting,,CC,2,,
6,006_00240001_2023-12-16_2_8e3bb038e0_processed_042.mp4,dining room,living room,eating,,JA,3,,
7,007_00320001_2024-05-11_2_78ccaae9f1_processed_039.mp4,office,bedroom,walking,exploring,CC,5,,
8,008_00820001_2023-05-06_2_578b918303_processed_007.mp4,living room,other,exploring,playing,CC,3,,
9,009_00680001_2023-05-07_2_c4f79965be_processed_018.mp4,garden,,exploring,,CC,5,,
10,010_00420001_2024-06-21_1_1fc3e7b968_processed_014.mp4,living room,,sitting,,CC,1,,
11,011_00400001_2024-12-01_3_b4c2dc7192_processed_069.mp4,closet,other,exploring,,CC,3,,
12,012_00400002_2024-01-06_2_d6accc9902_processed_018.mp4,bedroom,,playing,,CC,3,,
13,013_00400003_2024-04-12_1_78fc11d62d_processed_057.mp4,garage,,playing,conversing,JA,5,,
14,014_00510001_2024-04-13_2_c4a790bb60_processed_011.mp4,living room,other,music time,exploring,AC,5,,
15,015_00400001_2023-11-19_1_8c79b13b9b_processed_076.mp4,balcony,outside,exploring,,CC,2,,
16,016_00400002_2024-01-13_1_a58c2f7862_processed_019.mp4,garage,,cleaning,other,AC,5,,
17,017_00400001_2023-09-22_1_9977c9d6dd_processed_008.mp4,hallway,kitchen,looking at device,,JA,5,,
18,018_00320003_2024-07-07_1_1a765e701a_processed_057.mp4,living room,,playing,,CC,4,,
19,019_00500001_2024-08-17_1_5d8718d35d_processed_039.mp4,living room,other,playing,,JA,4,,
20,020_00590001_2024-09-20_1_cf3e9710d7_processed_015.mp4,outside,,crawling,,CC,5,,
21,021_00400002_2024-06-23_3_1b2351cdfe_processed_059.mp4,kitchen,,crying,crawling,AC,3,,
22,022_00510002_2024-11-12_1_2e81fea59c_processed_055.mp4,living room,,reading,,CC,4,,
23,023_00400001_2023-09-23_1_3aa820473e_processed_057.mp4,dining room,,looking at device,,JA,4,,
24,024_00430001_2023-10-06_1_9bf374e81c_processed_054.mp4,kitchen,hallway,sitting,,CC,4,,
25,025_00400001_2023-09-28_1_ffe2cfdbd3_processed_064.mp4,hallway,kitchen,being held,exploring,JA,4,,
26,026_00320001_2024-02-17_3_195c6f8833_processed_038.mp4,dining room,,sitting,walking,CC,2,,
27,027_00240001_2023-11-25_2_c9f28edff3_processed_068.mp4,living room,,sitting,,CC,4,,
28,028_00490001_2023-12-28_1_4d2984425d_processed_040.mp4,outside,,exploring,,CC,5,,
29,029_00400001_2024-08-27_1_9627aa4127_processed_016.mp4,living room,,looking at device,sitting,CC,5,,
30,030_00720001_2023-06-28_5_86314804a3_processed_039.mp4,living room,,playing,,CC,4,,
31,031_00820001_2024-05-03_3_9adf23fca6_processed_026.mp4,garden,,playing,sitting,CC,3,,
32,032_00370001_2024-05-05_3_97bfed6698_processed_022.mp4,garage,,being held,other,JA,3,,
33,033_00240001_2023-12-08_1_30326063f1_processed_067.mp4,dining room,,eating,sitting,JA,5,,
34,034_00220001_2024-03-06_1_2a74025141_processed_008.mp4,dining room,,eating,sitting,JA,4,,
35,035_00370001_2024-02-10_4_d2cfc75810_processed_063.mp4,hallway,,playing,reading,CC,4,,
36,036_00400003_2024-05-30_3_ac6e331884_processed_004.mp4,living room,,watching tv,sitting,JA,5,,
37,037_00820001_2023-07-09_1_fd9fec6baf_processed_042.mp4,bathroom,,sitting,,JA,4,,
38,038_00400002_2024-01-13_3_7ca2b2ad65_000.mp4,outside,,standing,,JA,4,,
39,039_00400001_2024-06-30_3_a69c8e8ddb_processed_034.mp4,living room,,walking,,CC,5,,
40,040_00240001_2024-10-06_3_6c66db99a8_processed_023.mp4,bedroom,,playing,walking,CC,5,,
41,041_00500001_2023-12-10_1_e07a848172_processed_059.mp4,living room,,watching tv,exploring,CC,4,,
42,042_00400002_2024-02-11_3_cf658e4a38_processed_030.mp4,bedroom,,playing,sitting,CC,5,,
43,043_00560001_2023-05-01_1_24d3b95737_processed_066.mp4,outside,,conversing,eating,JA,5,,
44,044_00320001_2024-03-16_1_bd51e5a866_processed_000.mp4,living room,,playing,sitting,JA,3,indoor/ no sure what room at the house,
45,045_00820001_2024-04-09_2_cc52cacdcd_processed_078.mp4,bathroom,,reading,conversing,JA,5,,
46,046_00320001_2024-03-10_3_2825d75568_processed_032.mp4,bedroom,living room,playing,"lying down, being held",JA,5,,
47,047_00360001_2024-10-30_2_04f91de1ba_processed_005.mp4,living room,"bedroom, office",playing,reading,CC,4,,
48,048_00230001_2024-04-14_1_da1653faac_processed_007.mp4,dining room,kitchen,eating,other,AC,5,,pouring something into a cup
49,049_00240001_2023-11-26_1_bd6fb31b2c_processed_096.mp4,dining room,,eating,other,JA,5,,feeding
50,050_00370001_2024-11-23_3_36b0eea465_processed_087.mp4,living room,,playing,,JA,2,,
51,051_00390001_2024-08-23_1_d4be717890_processed_012.mp4,living room,bedroom,reading,conversing,JA,3,,
52,052_00320002_2024-09-05_2_946f306519_processed_023.mp4,dining room,living room,watching tv,eating,CC,4,,
53,053_00510002_2024-10-07_2_0cc5319500_processed_065.mp4,bathroom,,conversing,other,JA,4,,squatting
54,054_00370002_2024-09-29_1_2c3456c8fe_processed_047.mp4,kitchen,,being held,,JA,3,,
55,055_00320002_2024-05-28_3_c99c7a039e_processed_070.mp4,kitchen,,cleaning,standing,AC,5,,
56,056_00320003_2024-03-03_1_d0c3250eb5_processed_101.mp4,living room,,conversing,playing,JA,4,,
57,057_00720001_2023-09-17_2_fc175a0fab_processed_071.mp4,dining room,,sitting,,AC,5,,
58,058_00510001_2024-08-25_1_558f810d34_processed_006.mp4,balcony,outside,standing,"conversing, other",AC,4,,"passing along something, searching"
59,059_00560001_2023-05-28_1_ed45a7d063_processed_001.mp4,car,,sitting,"playing, conversing",JA,5,,
60,060_00420001_2024-11-03_3_51011e4385_processed_036.mp4,bedroom,hallway,standing,exploring,CC,4,,
61,061_00820001_2023-11-08_2_73e140acf5_processed_070.mp4,living room,,playing,sitting,CC,1,,
62,062_00820001_2023-12-19_2_5ed57aefdf_processed_067.mp4,bedroom,,playing,,JA,4,,
63,063_00320001_2023-12-06_2_b65b83c560_processed_079.mp4,living room,,exploring,other,CC,2,,looking out of a window
64,064_00370001_2024-04-18_2_c09ec714fb_processed_044.mp4,living room,,exploring,playing,CC,5,,
65,065_00400002_2024-10-06_2_ad93998b1d_processed_007.mp4,living room,,exploring,playing,CC,5,,
66,066_00370002_2024-05-03_3_bb6f5ab781_processed_039.mp4,living room,,playing,,AC,3,,
67,067_00510002_2024-11-18_2_8f0a83618d_processed_030.mp4,bedroom,other,playing,,CC,3,"On a desk, indoor, not sure which room",
68,068_00400002_2024-03-01_3_2034d527bc_processed_047.mp4,other,,other,,CC,2,"on the floor, indoor",there were no activities shown
69,069_00400001_2023-07-01_1_c4bc4716ef_processed_007.mp4,stairway,hallway,looking at device,walking,AC,5,,
70,070_00560001_2023-08-26_3_76b5673034_processed_003.mp4,office,bedroom,conversing,other,JA,2,,pointing to the fan
71,071_00400003_2023-12-17_3_890b6a5cad_processed_067.mp4,living room,,eating,conversing,AC,4,,
72,072_00370002_2024-02-14_1_ca6b0b7335_processed_002.mp4,bathroom,,being held,exploring,JA,5,,
73,073_00360001_2024-09-25_1_0d3bbb62f6_processed_012.mp4,living room,,lying down,"conversing, walking",JA,4,,
74,074_00400001_2023-06-15_1_2f49953f81_processed_004.mp4,bedroom,,looking at device,,CC,1,,
75,075_00400001_2024-05-03_1_d8ea0c2efd_processed_040.mp4,living room,deck,,,CC,1,,
76,076_00320002_2024-04-10_1_9936c698cd_processed_084.mp4,bedroom,,crawling,exploring,CC,1,,
77,077_00680001_2023-06-24_1_3f66230c74_processed_010.mp4,outside,,being held,other,JA,3,,looking through the window
78,078_00420001_2024-06-09_1_941b9b5f1b_processed_027.mp4,garden,,being held,other,JA,2,,sweeping the floor
79,079_00400001_2023-07-01_1_c4bc4716ef_processed_009.mp4,stairway,,walking,,CC,5,,
80,080_00240001_2024-06-02_2_43f6a17f68_processed_045.mp4,dining room,,drinking,conversing,AC,5,,
81,081_00400001_2023-08-25_1_9ad5e22aaa_processed_037.mp4,other,,looking at device,,CC,4,"on the floor, indoor, not sure which room it is",
82,082_00370001_2024-04-25_2_ea8d9ab2d5_processed_052.mp4,living room,,playing,,JA,4,,
83,083_00720001_2023-07-08_1_093ff171d1_processed_011.mp4,kitchen,living room,being held,,JA,5,,
84,084_00820001_2024-04-21_4_cfa002ffc4_processed_013.mp4,,,,,,,,
85,085_00320003_2024-03-08_1_7484c17533_processed_060.mp4,,,,,,,,
86,086_00400002_2023-12-05_1_8d274e31e7_processed_045.mp4,,,,,,,,
87,087_00510001_2024-05-31_1_60e96e0a79_processed_059.mp4,,,,,,,,
88,088_00430001_2023-09-07_2_31e67cae01_processed_018.mp4,,,,,,,,
89,089_00820001_2023-12-23_3_faac23ba97_processed_040.mp4,,,,,,,,
